exp_id,date,config,loss_fn,lr_patience,grad_clip,train_samples,val_mae,test_mae,test_rmse,test_r2,test_mape,best_epoch,notes
baseline,2026-04-24,L1+default,L1,10,1.0,3496,0.1337,0.1379,0.2494,0.8294,22.24,78,Normalization fix retrain
A1,2026-04-24,Huber(d=0.3),Huber(0.3),10,1.0,3496,0.1385,0.1387,0.2581,0.8174,21.84,18,Worse: R2 -0.0120
A2,2026-04-24,Huber(d=1.0),Huber(1.0),10,1.0,3496,0.1439,0.1444,0.2656,0.8065,24.69,23,Worse: R2 -0.0229
A3,2026-04-24,Huber(d=3.0),Huber(3.0),10,1.0,3496,0.1431,0.1444,0.2502,0.8283,23.58,18,Worse: MAE +0.0065
B1,2026-04-24,L1+clip5+p5,L1,5,5.0,3496,0.1342,0.1364,0.2668,0.8048,21.37,19,Worse: R2 -0.0246
B2,2026-04-24,L1+clip10+p5,L1,5,10.0,3496,0.1311,0.1327,0.2501,0.8285,21.36,36,Best: MAE -3.8%
C1,2026-04-24,L1+clip10+p5(L1,5,10.0,3496,0.1311,0.1327,0.2501,0.8285,21.36,36,Verification of B2 (match)
S200,2026-04-24,L1+clip10+p5,0.0864,0.1665,0.7744,20.73,37,200s window: 7782/1667/1669 samples
S600,2026-04-24,L1+clip10+p5,L1,5,10.0,2117,0.1749,0.1716,0.3122,0.8613,20.81,29,600s window: 2117/453/455 samples (R² +3.3% vs 400s)
S800,2026-04-24,L1+clip10+p5,L1,5,10.0,1453,0.2039,0.1860,0.2837,0.9157,16.97,29,800s window: 1453/311/313 samples (R² +8.7% vs 400s)
S1000,2026-04-24,L1+clip10+p5,L1,5,10.0,1066,0.2195,0.2255,0.3316,0.9187,17.13,30,1000s window: 1066/228/229 samples (R² +0.003 vs 800s)
S1200,2026-04-24,L1+clip10+p5,L1,5,10.0,812,0.1965,0.2526,0.3904,0.9227,18.24,37,1200s window: 812/174/174 samples (R² +0.004 vs 1000s)
S1500,2026-04-24,L1+clip10+p5,L1,5,10.0,574,0.2709,0.2343,0.3425,0.9462,21.81,51,1500s window: 574/123/123 samples (R² +0.0235 vs 1200s)
