特征贡献度分析报告
============================================================

Baseline: MAE=0.0000 (dummy)
Baseline: MAE=0.1380  RMSE=0.2548  R²=0.8220

Rank  Feature                                    ΔMAE         ΔR²      Grad  Combined
--------------------------------------------------------------------------------
   1  power                                   +0.1717     +0.3575    28.4%    37.1%
   2  total_current                           +0.1621     +0.3222    27.5%    34.6%
   3  total_volt                              +0.0224     +0.0405     3.8%     4.7%
   4  temperature_c_window20_mean             +0.0135     +0.0204     2.4%     2.7%
   5  mileage_diff                            +0.0073     +0.0130     5.4%     2.3%
   6  relative_humidity_window20_mean         +0.0116     +0.0154     2.4%     2.3%
   7  cruising_ratio                          +0.0107     +0.0131     2.0%     2.0%
   8  Mid                                     +0.0086     +0.0158     2.6%     2.0%
   9  speed_window20_mean                     +0.0083     +0.0131     2.3%     1.8%
  10  Low                                     +0.0063     +0.0123     3.3%     1.8%
  11  speed_window20_std                      +0.0099     +0.0045     2.6%     1.8%
  12  speed_diff                              +0.0047     -0.0013     5.9%     1.6%
  13  wind_speed_ms_window20_mean             +0.0065     +0.0096     1.8%     1.4%
  14  speed                                   +0.0047     +0.0074     1.9%     1.2%
  15  visibility_km_window20_mean             +0.0049     +0.0038     1.9%     1.0%
  16  speed_diff_window20_mean                +0.0030     -0.0021     3.6%     1.0%
  17  High                                    +0.0005     +0.0024     2.2%     0.6%
